yield_id,farmer_id,crop,season,yield_kg,area_hectares
1,4,Soy,2024,3330,1.79
2,18,Rice,2022,1906,3.85
3,93,Soy,2024,2525,3.87
4,91,Rice,2024,3893,4.08
5,44,Maize,2023,3165,4.41
6,50,Soy,2022,1043,1.45
7,92,Rice,2022,3572,2.06
8,94,Cassava,2024,1282,4.33
9,12,Rice,2023,1348,1.69
10,48,Rice,2023,1400,1.82
11,85,Cassava,2024,2554,4.99
12,74,Rice,2023,4197,3.69
13,25,Cassava,2023,4063,1.56
14,15,Maize,2024,1844,4.51
15,95,Soy,2023,1184,2.47
16,35,Soy,2024,2487,1.92
17,49,Maize,2024,2349,4.75
18,50,Rice,2023,4672,1.71
19,49,Maize,2024,4221,4.0
20,11,Rice,2024,4582,3.13
21,40,Rice,2024,2701,2.47
22,65,Rice,2024,2966,3.07
23,89,Cassava,2024,2936,3.44
24,48,Soy,2024,2406,4.79
25,96,Cassava,2024,3935,1.57
26,49,Soy,2024,2993,4.11
27,2,Rice,2022,2479,4.08
28,84,Maize,2022,3213,2.66
29,95,Cassava,2022,2342,2.86
30,9,Soy,2022,4150,3.17
31,47,Maize,2022,3133,2.85
32,55,Soy,2023,1366,0.68
33,12,Cassava,2023,4941,0.69
34,20,Cassava,2022,4160,3.62
35,19,Soy,2023,1915,2.07
36,63,Soy,2024,4716,3.75
37,39,Soy,2024,2324,4.54
38,26,Maize,2022,3834,3.44
39,8,Maize,2024,3581,3.96
40,40,Rice,2024,1178,3.07
41,87,Soy,2023,2347,2.69
42,53,Cassava,2023,3409,1.27
43,72,Cassava,2024,3024,1.38
44,6,Maize,2022,2113,2.2
45,13,Soy,2023,4009,0.96
46,65,Cassava,2022,1084,4.17
47,19,Cassava,2024,3002,0.83
48,77,Soy,2022,3992,1.06
49,70,Maize,2024,1417,1.98
50,62,Maize,2023,2322,1.3
51,74,Soy,2023,3516,3.42
52,14,Cassava,2024,1793,4.93
53,12,Soy,2024,3558,0.75
54,3,Maize,2023,678,1.02
55,49,Cassava,2023,3129,0.85
56,97,Maize,2023,921,2.95
57,93,Rice,2023,4975,1.86
58,59,Maize,2022,1650,4.51
59,72,Rice,2022,3279,3.36
60,57,Soy,2022,4243,2.35
61,86,Soy,2023,2820,1.29
62,53,Rice,2024,3180,4.95
63,6,Soy,2023,4978,4.55
64,6,Cassava,2023,2388,1.29
65,38,Rice,2023,3102,3.42
66,33,Rice,2022,2579,4.86
67,85,Cassava,2024,3678,4.18
68,21,Maize,2023,3411,1.19
69,58,Soy,2023,4375,3.78
70,74,Soy,2022,2588,1.37
71,58,Cassava,2022,2711,4.72
72,29,Soy,2022,2298,3.99
73,6,Soy,2024,1650,1.12
74,100,Rice,2022,728,2.31
75,69,Cassava,2022,4564,2.49
76,43,Cassava,2024,1141,2.65
77,54,Maize,2024,3834,3.19
78,16,Soy,2022,1106,0.77
79,66,Rice,2023,1313,0.54
80,74,Rice,2023,2351,2.17
81,63,Cassava,2023,2911,1.93
82,72,Maize,2023,3969,4.51
83,73,Soy,2024,2769,2.34
84,34,Cassava,2023,692,3.38
85,79,Maize,2024,1857,4.73
86,98,Rice,2023,3613,4.6
87,35,Maize,2023,2197,0.52
88,58,Soy,2023,1474,1.35
89,52,Maize,2023,2023,4.56
90,52,Rice,2024,2103,2.8
91,82,Soy,2023,1526,4.99
92,19,Soy,2022,2629,3.22
93,24,Cassava,2024,3556,1.49
94,57,Cassava,2023,795,2.71
95,15,Cassava,2024,1557,1.81
96,60,Maize,2023,4117,2.8
97,70,Rice,2022,1849,3.29
98,45,Rice,2023,2086,3.57
99,7,Cassava,2023,2296,4.76
100,54,Soy,2022,4733,3.1
101,61,Cassava,2023,3514,3.33
102,6,Maize,2022,1001,4.03
103,90,Cassava,2022,599,3.26
104,30,Rice,2024,1713,3.48
105,68,Rice,2022,4360,2.44
106,72,Cassava,2022,2939,2.4
107,67,Maize,2024,3853,4.79
108,53,Rice,2022,1754,1.38
109,62,Soy,2022,2336,1.44
110,28,Cassava,2022,1698,1.78
111,29,Soy,2023,4457,0.75
112,78,Maize,2023,4840,0.93
113,85,Maize,2022,1012,3.97
114,66,Soy,2024,2497,3.68
115,21,Cassava,2024,4016,4.96
116,2,Rice,2023,4922,1.35
117,38,Soy,2022,2071,3.14
118,97,Rice,2024,4290,1.6
119,33,Cassava,2022,4827,2.67
120,13,Maize,2024,3847,1.38
121,66,Maize,2023,4111,4.22
122,64,Rice,2022,2406,4.57
123,96,Rice,2023,794,0.94
124,79,Soy,2023,1974,2.72
125,25,Soy,2022,1260,3.2
126,50,Rice,2022,4842,2.81
127,20,Soy,2023,4461,4.37
128,73,Cassava,2023,4997,3.96
129,38,Cassava,2022,1784,0.78
130,61,Cassava,2024,920,4.78
131,20,Maize,2024,722,1.33
132,22,Rice,2024,3993,3.61
133,52,Maize,2022,4867,2.27
134,20,Cassava,2023,2372,1.86
135,65,Rice,2023,1694,4.35
136,93,Maize,2023,3946,4.1
137,33,Cassava,2022,4464,4.75
138,71,Cassava,2023,4615,4.29
139,14,Maize,2024,3480,3.62
140,50,Soy,2022,562,0.97
141,98,Rice,2022,1094,2.29
142,27,Soy,2022,999,4.8
143,34,Cassava,2022,3342,4.0
144,51,Soy,2023,778,4.56
145,91,Rice,2023,3338,2.46
146,79,Rice,2022,2631,2.01
147,80,Cassava,2022,1637,4.57
148,88,Maize,2022,1912,1.8
149,77,Maize,2023,1810,1.77
150,51,Rice,2022,3197,0.52
151,42,Maize,2022,4220,2.86
152,29,Rice,2023,2738,3.25
153,97,Cassava,2022,3356,4.06
154,99,Rice,2022,4507,2.43
155,54,Maize,2023,1200,0.5
156,29,Rice,2024,4162,3.05
157,63,Rice,2022,1148,3.78
158,97,Maize,2023,2533,4.77
159,39,Soy,2024,3678,2.06
160,82,Maize,2023,1287,3.1
161,87,Cassava,2023,3500,4.05
162,48,Maize,2023,4707,2.38
163,36,Cassava,2022,4958,0.71
164,44,Maize,2023,562,0.6
165,45,Rice,2024,2127,1.13
166,71,Maize,2023,2305,1.68
167,79,Soy,2022,3277,3.2
168,60,Maize,2023,1392,1.8
169,27,Cassava,2022,3751,1.26
170,70,Soy,2024,3591,3.79
171,93,Maize,2023,1046,3.11
172,65,Soy,2024,1830,2.16
173,37,Rice,2022,4503,4.02
174,64,Maize,2022,4158,1.86
175,66,Cassava,2023,1240,3.75
176,17,Soy,2022,4510,1.47
177,50,Soy,2023,2090,3.72
178,36,Rice,2024,1395,1.06
179,4,Rice,2023,2142,2.54
180,81,Rice,2022,2905,2.92
181,4,Cassava,2022,756,3.8
182,37,Cassava,2023,1172,3.85
183,99,Rice,2023,2027,3.4
184,92,Rice,2023,1354,4.71
185,42,Rice,2024,2628,3.83
186,31,Rice,2023,4389,4.74
187,86,Soy,2023,3255,4.16
188,75,Rice,2023,2616,4.19
189,19,Cassava,2022,4069,1.63
190,48,Soy,2024,4785,0.64
191,16,Rice,2024,4786,4.22
192,69,Maize,2024,942,3.84
